"","iso3_iu0","highest_ess_model"
"467","ETH19466","mansoni_low_burden"
"468","ETH19450","mansoni_low_burden"
"469","TCD10774","mansoni_high_burden"
"470","KEN54048","mansoni_low_burden"
"471","ZWE52931","mansoni_low_burden"
"472","ZWE52909","mansoni_high_burden"
"473","ZWE52916","mansoni_high_burden"
"474","KEN54122","mansoni_high_burden"
"475","ZWE52911","mansoni_low_burden"
"476","ZWE52924","mansoni_low_burden"
"477","ZWE52939","mansoni_low_burden"
"478","ZWE52940","mansoni_low_burden"
"479","ZWE52948","mansoni_low_burden"
"480","ZWE52933","mansoni_high_burden"
"481","KEN54108","mansoni_high_burden"
"482","KEN54113","mansoni_high_burden"
"483","ETH19368","mansoni_low_burden"
"484","ETH19469","mansoni_low_burden"
"485","KEN54246","mansoni_high_burden"
"486","ZWE52908","mansoni_high_burden"
"487","ZWE52923","mansoni_high_burden"
"488","ZWE52925","mansoni_high_burden"
"489","ZWE52927","mansoni_high_burden"
"490","ZWE52942","mansoni_low_burden"
"491","ZWE52943","mansoni_high_burden"
"492","ZWE52950","mansoni_high_burden"
"493","ZWE52951","mansoni_high_burden"
"494","AGO02206","mansoni_high_burden"
"495","AGO02121","mansoni_high_burden"
"496","AGO02125","mansoni_high_burden"
"497","ZWE52941","mansoni_low_burden"
"498","ZWE52936","mansoni_high_burden"
"499","ZWE52914","mansoni_high_burden"
"500","TGO48675","mansoni_high_burden"
"501","TGO48694","mansoni_low_burden"
"502","TGO48699","mansoni_high_burden"
"503","TGO48697","mansoni_high_burden"
"504","TGO48683","mansoni_low_burden"
"505","TGO48691","mansoni_low_burden"
"506","TGO48700","mansoni_high_burden"
"507","TGO48696","mansoni_low_burden"
"508","TGO48682","mansoni_high_burden"
"509","TGO48692","mansoni_high_burden"
"510","TGO48689","mansoni_low_burden"
"511","TGO48698","mansoni_low_burden"
"512","TGO48690","mansoni_low_burden"
"513","TGO48671","mansoni_high_burden"
"514","UGA49718","mansoni_high_burden"
"515","GHA21474","mansoni_high_burden"
"516","GHA21472","mansoni_high_burden"
"517","GHA21427","mansoni_low_burden"
"518","GHA21473","mansoni_high_burden"
"519","SEN40199","mansoni_low_burden"
"520","GHA21483","mansoni_low_burden"
"521","GHA21484","mansoni_low_burden"
"522","GHA21468","mansoni_high_burden"
"523","GHA21572","mansoni_high_burden"
"524","GHA21598","mansoni_low_burden"
"525","GHA21428","mansoni_high_burden"
"526","COD13896","mansoni_low_burden"
"527","NGA36924","mansoni_low_burden"
"528","GHA21573","mansoni_low_burden"
"529","GHA21448","mansoni_high_burden"
"530","GHA21441","mansoni_low_burden"
"531","COD13879","mansoni_low_burden"
"532","NGA36928","mansoni_high_burden"
"533","NGA36617","mansoni_high_burden"
